task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
load and clean data,2024-05-27T11:18:13,assignment 3,5920f8fc-b852-4d49-a8d7-ea8e8c6187d2,1.4156291484832764,1.4427260756375067e-05,1.02020930938651e-05,62.5,0.0,141.20075225830078,2.4547957711749607e-05,0,5.541779269217386e-05,7.996575040392347e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.5353393554688,machine,N
load model,2024-05-27T11:18:27,assignment 3,5920f8fc-b852-4d49-a8d7-ea8e8c6187d2,13.66228699684143,0.0001394071461558,1.0207971234767548e-05,62.5,0.0,141.20075225830078,0.0002370927441451,0,0.0005355970437687,0.0007726897879138,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.5353393554688,machine,N
expand query,2024-05-27T11:18:29,assignment 3,5920f8fc-b852-4d49-a8d7-ea8e8c6187d2,1.6833841800689695,1.7168806023332465e-05,1.0205783480947552e-05,62.5,0.0,141.20075225830078,2.9203320542971287e-05,0,6.595794952615958e-05,9.516127006913088e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.5353393554688,machine,N
calculate percentage,2024-05-27T11:18:29,assignment 3,5920f8fc-b852-4d49-a8d7-ea8e8c6187d2,0.0177595615386962,1.7624087107718654e-07,1.0016908647115397e-05,62.5,0.0,141.20075225830078,3.0361529853608054e-07,0,6.73232194935776e-07,9.768474934718566e-07,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.5353393554688,machine,N
save results,2024-05-27T11:18:29,assignment 3,5920f8fc-b852-4d49-a8d7-ea8e8c6187d2,0.005439281463623,5.2270449400347765e-08,9.675544154714516e-06,62.5,0.0,141.20075225830078,9.210573302377525e-08,0,1.9761286157514e-07,2.8971859459886104e-07,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.5353393554688,machine,N
visualise query,2024-05-27T11:18:31,assignment 3,5920f8fc-b852-4d49-a8d7-ea8e8c6187d2,2.111126184463501,2.1541252482762944e-05,1.020679521539396e-05,62.5,0.0,141.20075225830078,3.6638437045945086e-05,0,8.275792297779384e-05,0.0001193963600237,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.5353393554688,machine,N
load classifier,2024-05-27T12:02:15,assignment 4,95a6a316-0042-4b8d-843c-89d4e8f42b2e,6.025336503982544,5.564342706965467e-05,9.205454241640446e-06,42.5,0.0,141.20075225830078,7.13583807150523e-05,0,0.0002370555639559,0.000308413944671,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.5353393554688,machine,N
predict emotion,2024-05-27T12:43:16,assignment 4,95a6a316-0042-4b8d-843c-89d4e8f42b2e,2461.633626937866,0.0226626736020299,9.206364874113883e-06,42.5,0.0,141.20075225830078,0.0290609207514259,0,0.0965511224040793,0.1256120431555053,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.5353393554688,machine,N
save results,2024-05-27T12:43:16,assignment 4,95a6a316-0042-4b8d-843c-89d4e8f42b2e,0.0854620933532714,7.845689185582982e-07,9.173507341059168e-06,42.5,0.0,141.20075225830078,1.0086966885473891e-06,0,3.339921068865048e-06,4.348617757415907e-06,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.5353393554688,machine,N
reshape data,2024-05-27T12:43:16,assignment 4,95a6a316-0042-4b8d-843c-89d4e8f42b2e,0.0330846309661865,3.020692831735839e-07,9.100491328057e-06,42.5,0.0,141.20075225830078,3.907822900342528e-07,0,1.283492356465854e-06,1.6742746465070455e-06,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.5353393554688,machine,N
plot season,2024-05-27T12:43:18,assignment 4,95a6a316-0042-4b8d-843c-89d4e8f42b2e,1.6525685787200928,1.520457730741498e-05,9.20407430888567e-06,42.5,0.0,141.20075225830078,1.950080411301791e-05,0,6.477336646540377e-05,8.42741705784078e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.5353393554688,machine,N
plot emotion,2024-05-27T12:43:20,assignment 4,95a6a316-0042-4b8d-843c-89d4e8f42b2e,1.3769052028656006,1.2663378913597978e-05,9.203405854211183e-06,42.5,0.0,141.20075225830078,1.624238888422655e-05,0,5.394672147944479e-05,7.018911036368869e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.5353393554688,machine,N
Load and split data,2024-05-27T10:37:34,assignment 2,05e863c4-7af4-4197-a2b5-e9511ddc9872,0.4654936790466308,4.759902833824782e-06,1.0195858272354544e-05,62.5,0.0,141.20075225830078,8.102560208903419e-06,0,1.8280078074553785e-05,2.63826382834572e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.5353393554688,machine,N
Define vectorizer,2024-05-27T10:37:34,assignment 2,05e863c4-7af4-4197-a2b5-e9511ddc9872,0.0029006004333496,2.8095446068566885e-08,8.856218384726767e-06,62.5,0.0,141.20075225830078,5.2990184889899735e-08,0,1.0273400043843229e-07,1.557241853283303e-07,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.5353393554688,machine,N
Fit vectorizer,2024-05-27T10:37:47,assignment 2,05e863c4-7af4-4197-a2b5-e9511ddc9872,13.172502040863035,0.0001344269280355,1.0208053334778367e-05,62.5,0.0,141.20075225830078,0.0002286192898948,0,0.0005164667216756,0.0007450860115705,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.5353393554688,machine,N
Load vectorized data,2024-05-27T10:39:02,assignment 2,fe63f87e-5b09-465e-8949-44a9bc102a29,0.018550157546997,1.9716758204071645e-07,9.89235122878185e-06,62.5,0.0,141.20075225830078,3.434386518266466e-07,0,7.493989920931199e-07,1.0928376439197664e-06,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.5353393554688,machine,N
Define classifier,2024-05-27T10:39:02,assignment 2,fe63f87e-5b09-465e-8949-44a9bc102a29,0.0021975040435791,1.7001132879261982e-08,7.685699465404186e-06,62.5,0.0,141.20075225830078,3.569242027070788e-08,0,5.853949051015666e-08,9.423191078086445e-08,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.5353393554688,machine,N
GridSearch,2024-05-27T10:46:16,assignment 2,fe63f87e-5b09-465e-8949-44a9bc102a29,434.5640864372253,0.004436240433951,1.02086514223438e-05,62.5,0.0,141.20075225830078,0.0075443842013676,0,0.0170442956085797,0.0245886798099474,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.5353393554688,machine,N
Fit classifier,2024-05-27T10:49:37,assignment 2,fe63f87e-5b09-465e-8949-44a9bc102a29,200.59604001045227,0.0020477579521312,1.0208579581264573e-05,62.5,0.0,141.20075225830078,0.0034824903764658,0,0.0078675852929867,0.0113500756694525,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.5353393554688,machine,N
Evaluate classifier,2024-05-27T10:49:37,assignment 2,fe63f87e-5b09-465e-8949-44a9bc102a29,0.25459885597229,2.6404792869069715e-06,1.0183911160206473e-05,62.5,0.0,141.20075225830078,4.498379098044972e-06,0,1.0136963755257022e-05,1.463534285330026e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.5353393554688,machine,N
Plot loss curve,2024-05-27T10:49:37,assignment 2,fe63f87e-5b09-465e-8949-44a9bc102a29,0.3680121898651123,3.7539213312088103e-06,1.0195211647519226e-05,62.5,0.0,141.20075225830078,6.390338142713697e-06,0,1.4416462349526454e-05,2.0806800492240152e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.5353393554688,machine,N
Permutation test,2024-05-27T10:54:08,assignment 2,fe63f87e-5b09-465e-8949-44a9bc102a29,270.9838795661926,0.0027663709907159,1.0208664156767226e-05,62.5,0.0,141.20075225830078,0.0047045573592185,0,0.0106285634530948,0.0153331208123134,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.5353393554688,machine,N
Load vectorized data,2024-05-27T10:37:55,assignment 2,baaf8c97-5bd8-4c88-b8a6-5835e0654641,0.0208268165588378,2.362506975941037e-07,1.000057774558954e-05,62.5,0.0,141.20075225830078,4.081138306193882e-07,0,9.013491807991158e-07,1.309463011418504e-06,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.5353393554688,machine,N
Define classifier,2024-05-27T10:37:55,assignment 2,baaf8c97-5bd8-4c88-b8a6-5835e0654641,0.001317024230957,1.0542937800506142e-08,7.543549332721617e-06,62.5,0.0,141.20075225830078,2.244280444251165e-08,0,3.599337044306593e-08,5.8436174885577695e-08,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.5353393554688,machine,N
GridSearch,2024-05-27T10:38:40,assignment 2,baaf8c97-5bd8-4c88-b8a6-5835e0654641,45.0499804019928,0.0004597588809277,1.0208548277909548e-05,62.5,0.0,141.20075225830078,0.0007818835932347,0,0.0017664146970011,0.0025482982902359,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.5353393554688,machine,N
Fit classifier,2024-05-27T10:38:41,assignment 2,baaf8c97-5bd8-4c88-b8a6-5835e0654641,0.3065922260284424,3.125623507425033e-06,1.0197619728189425e-05,62.5,0.0,141.20075225830078,5.319867697027017e-06,0,1.2004476367451482e-05,1.7324344064478282e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.5353393554688,machine,N
Evaluate classifier,2024-05-27T10:38:41,assignment 2,baaf8c97-5bd8-4c88-b8a6-5835e0654641,0.0759308338165283,7.712396617825493e-07,1.0161409543709751e-05,62.5,0.0,141.20075225830078,1.3158097863197023e-06,0,2.9589281100243347e-06,4.274737896343712e-06,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.5353393554688,machine,N
Shap,2024-05-27T10:38:42,assignment 2,baaf8c97-5bd8-4c88-b8a6-5835e0654641,1.4226925373077393,1.4507626770294006e-05,1.0204213231960622e-05,62.5,0.0,141.20075225830078,2.468045800924296e-05,0,5.5730735831139005e-05,8.041119384038196e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.5353393554688,machine,N
Permutation test,2024-05-27T10:38:53,assignment 2,baaf8c97-5bd8-4c88-b8a6-5835e0654641,11.085603713989258,0.0001131540514651,1.020821071538644e-05,62.5,0.0,141.20075225830078,0.000192439287073,0,0.0004347378874058,0.0006271771744789,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.5353393554688,machine,N
load spacy model,2024-05-27T09:57:55,assignment 1,2dc948dc-e99f-4cb6-938a-8b23bda5f820,2.2040181159973145,2.0289564771416982e-05,9.19904480638292e-06,42.5,0.0,141.20075225830078,2.603592144118415e-05,0,8.642272886763749e-05,0.0001124586503088,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.5353393554688,machine,N
"load data, process text, and save results",2024-05-27T10:02:14,assignment 1,2dc948dc-e99f-4cb6-938a-8b23bda5f820,259.6277186870575,0.0023902108735322,9.206349138788868e-06,42.5,0.0,141.20075225830078,0.003065032011436,0,0.010183152058514,0.0132481840699501,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.5353393554688,machine,N
plot results,2024-05-27T10:02:16,assignment 1,2dc948dc-e99f-4cb6-938a-8b23bda5f820,1.26615309715271,1.1645404894481022e-05,9.2035580008851e-06,42.5,0.0,141.20075225830078,1.4936612877580833e-05,0,4.961018896303821e-05,6.45468018406186e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.5353393554688,machine,N
