,Filename,Nouns_Relative_Freq,Verbs_Relative_Freq,Adverbs_Relative_Freq,No_unique_per,No_unique_loc,No_unique_org
0,1112.a1.txt,1273.96,1465.61,823.0,0,0,0
1,0107.a1.txt,1204.99,1440.44,609.42,0,0,0
2,1071.a1.txt,1396.71,1302.82,481.22,3,0,4
3,0191.a1.txt,1251.49,1358.76,679.38,0,0,2
4,3064.a1.txt,1538.46,1372.14,665.28,0,0,0
5,1052.a1.txt,1165.31,1436.31,677.51,2,0,0
6,2058.a1.txt,1507.48,1219.79,678.94,4,0,0
7,0102.a1.txt,1477.95,1191.9,476.76,1,0,0
8,2055.a1.txt,1355.21,1469.33,427.96,0,0,0
9,5015.a1.txt,1206.5,1229.7,440.84,0,0,0
10,2005.a1.txt,1475.1,1226.05,632.18,2,0,0
11,3001.a1.txt,1183.67,1367.35,551.02,3,0,0
12,2038.a1.txt,1622.64,1283.02,352.2,4,0,3
13,3044.a1.txt,1471.7,962.26,792.45,0,0,1
14,0182.a1.txt,1597.35,1351.61,623.82,5,0,1
15,0118.a1.txt,1297.51,1310.62,655.31,0,0,1
16,2019.a1.txt,1398.0,1340.94,599.14,1,0,0
17,1057.a1.txt,1324.42,1567.44,583.23,0,0,0
18,1077.a1.txt,1548.78,1231.71,792.68,1,0,0
19,2030.a1.txt,1187.99,1475.2,600.52,0,0,0
20,0201.a1.txt,1073.83,1409.4,684.56,2,0,0
21,4045.a1.txt,1576.92,1057.69,384.62,0,0,0
22,2057.a1.txt,1264.08,1464.33,700.88,0,1,0
23,0203.a1.txt,1481.07,1247.22,501.11,4,0,1
24,0171.a1.txt,1380.12,1345.03,701.75,0,1,1
25,2024.a1.txt,1211.73,1326.53,714.29,0,0,0
26,1049.a1.txt,1175.73,1441.21,632.11,0,0,0
27,0176.a1.txt,1401.97,1237.68,679.08,0,0,1
28,3068.a1.txt,1483.15,1303.37,629.21,0,0,0
29,0236.a1.txt,1093.12,1497.98,634.28,0,0,0
30,2061.a1.txt,1409.3,974.51,764.62,4,0,1
31,1019.a1.txt,1544.06,1091.35,759.9,6,0,7
32,0198.a1.txt,1309.86,1394.37,492.96,2,0,1
33,0222.a1.txt,1423.79,1373.53,485.76,0,0,1
34,1024.a1.txt,1333.33,1264.37,609.2,0,0,0
35,3067.a1.txt,1523.34,1154.79,466.83,5,0,0
36,1047.a1.txt,1221.28,1257.56,616.69,0,0,4
37,2048.a1.txt,1192.56,1258.21,743.98,0,0,1
38,0195.a1.txt,1248.47,1493.27,575.28,0,0,0
39,1092.a1.txt,1027.03,1310.81,891.89,0,0,0
40,0227.a1.txt,1316.1,1398.35,599.29,1,0,1
41,2040.a1.txt,1629.12,1299.83,606.59,2,0,1
42,0219.a1.txt,1450.84,1151.08,623.5,0,0,0
43,1069.a1.txt,1373.0,1235.7,789.47,0,1,1
44,0235.a1.txt,1593.63,1102.26,464.81,0,0,0
45,0174.a1.txt,1394.23,1562.5,516.83,2,0,0
46,0216.a1.txt,1356.78,1293.97,339.2,1,0,1
47,4043.a1.txt,1277.45,1337.33,658.68,0,0,0
48,1039.a1.txt,1096.61,1340.3,661.44,2,0,1
49,0119.a1.txt,1265.66,1378.45,726.82,0,0,0
50,0172.a1.txt,1313.13,1136.36,707.07,18,0,0
51,3035.a1.txt,1290.32,1003.58,465.95,4,0,3
52,2036.a1.txt,1327.76,1355.62,779.94,1,0,1
53,0143.a1.txt,1428.57,1280.79,701.97,1,0,1
54,2049.a1.txt,1450.95,1158.04,735.69,3,0,5
55,2004.a1.txt,1479.82,1266.82,627.8,3,0,0
56,1003.a1.txt,1500.0,1352.27,488.64,0,0,0
57,1088.a1.txt,1476.24,1354.9,424.67,2,0,1
58,1026.a1.txt,1000.86,1334.47,453.38,0,0,0
59,1007.a1.txt,1364.42,1295.34,535.41,1,0,3
60,3028.a1.txt,1402.55,1256.83,582.88,0,0,2
61,1020.a1.txt,1241.38,1318.97,594.83,5,0,3
62,0196.a1.txt,1228.67,1274.18,591.58,8,0,0
63,2000.a1.txt,1462.96,962.96,518.52,0,0,0
64,1060.a1.txt,837.87,1371.06,674.65,8,0,0
65,2023.a1.txt,1200.0,1357.58,703.03,2,0,0
66,0168.a1.txt,1380.6,1330.85,870.65,0,0,0
67,0106.a1.txt,1533.74,1288.34,871.17,1,0,0
68,2044.a1.txt,1391.75,1443.3,592.78,1,0,0
