,Filename,Nouns_Relative_Freq,Verbs_Relative_Freq,Adverbs_Relative_Freq,No_unique_per,No_unique_loc,No_unique_org
0,0303.b3.txt,1529.93,753.88,421.29,2,0,2
1,0165.b3.txt,1715.14,654.33,247.85,70,0,39
2,0313.b3.txt,1713.04,544.52,278.22,5,4,16
3,1112.b3.txt,1589.09,898.88,457.46,12,0,11
4,0105.b3.txt,1396.32,861.2,392.98,9,0,17
5,0140.b3.txt,2690.7,645.43,276.61,16,0,2
6,1097.b3.txt,1589.15,833.33,528.1,19,2,10
7,1069.b3.txt,1456.25,704.64,396.36,45,2,34
8,1533.b3.txt,1708.3,890.41,338.44,15,0,23
9,0308.b3.txt,1762.48,897.03,701.2,13,1,6
10,1532.b3.txt,1622.66,844.94,364.86,20,4,24
11,0122.b3.txt,1400.1,792.03,260.6,17,3,39
12,1102.b3.txt,1678.89,703.81,432.55,4,4,4
13,1534.b3.txt,1704.04,829.6,497.76,20,0,9
14,1057.b3.txt,1802.85,947.95,366.39,28,1,15
15,0130.b3.txt,1579.75,756.65,424.34,23,5,15
16,1023.b3.txt,1262.76,720.66,446.43,14,0,19
17,1082.b3.txt,2104.92,673.58,317.36,13,2,17
18,0103.b3.txt,1858.7,559.29,243.9,32,1,42
19,0171.b3.txt,1618.75,787.5,312.5,15,0,20
20,0133.b3.txt,1309.47,765.75,357.95,78,7,22
21,2034.b3.txt,1425.58,1137.32,393.08,18,0,16
22,0304.b3.txt,1696.49,837.51,436.65,31,4,9
23,1100.b3.txt,1619.87,741.54,302.38,20,2,3
24,0300.b3.txt,1596.64,840.34,291.65,32,1,54
25,0307.b3.txt,1616.6,737.3,229.38,16,6,25
26,0200.b3.txt,1786.18,801.83,417.21,21,0,5
27,0139.b3.txt,1959.06,836.26,362.57,20,1,9
28,0134.b3.txt,1560.69,936.42,809.25,15,0,15
29,0310.b3.txt,1748.57,716.63,561.02,26,8,15
30,1508.b3.txt,1546.39,880.97,309.28,80,1,24
31,2018.b3.txt,1778.68,1025.49,295.48,16,0,14
32,1536.b3.txt,1825.95,742.12,464.5,16,4,7
33,1066.b3.txt,1708.86,880.8,427.22,11,0,16
34,1520.b3.txt,1178.33,772.01,284.42,33,1,66
